ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
72	225	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE0	8 Bit Unsigned Integer	"analog input 0 range. if analog inputs (not_used_input = 0, Y3K_40_150DegC, Y3K_40_300DegF, R10K_40_120DegC,
 R10K_40_250DegF, R3K_40_150DegC, R3K_40_300DegF, KM10K_40_120DegC,
 KM10K_40_250DegF, A10K_50_110DegC, A10K_60_200DegF, V0_5, I0_100Amps,
 I0_20m"
73	226	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE1	8 Bit Unsigned Integer	analog input 1 range
74	227	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE2	8 Bit Unsigned Integer	analog input 2 range
75	228	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE3	8 Bit Unsigned Integer	analog input 3 range
76	229	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE4	8 Bit Unsigned Integer	analog input 4 range
77	230	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE5	8 Bit Unsigned Integer	analog input 5 range
78	231	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE6	8 Bit Unsigned Integer	analog input 6 range
79	232	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE7	8 Bit Unsigned Integer	analog input 7 range
80	233	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE8	8 Bit Unsigned Integer	analog input 8 range
81	234	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE9	8 Bit Unsigned Integer	analog input 9 range
82	235	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE10	8 Bit Unsigned Integer	analog input 10 range
83	236	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE11	8 Bit Unsigned Integer	analog input 11 range
84	237	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE12	8 Bit Unsigned Integer	analog input 12 range
85	238	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE13	8 Bit Unsigned Integer	analog input 13 range
86	239	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE14	8 Bit Unsigned Integer	analog input 14 range
87	240	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE15	8 Bit Unsigned Integer	analog input 15 range
88	241	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE16	8 Bit Unsigned Integer	analog input 16 range
89	242	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE17	8 Bit Unsigned Integer	analog input 17 range
90	243	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE18	8 Bit Unsigned Integer	analog input 18 range
91	244	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE19	8 Bit Unsigned Integer	analog input 19 range
92	245	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE20	8 Bit Unsigned Integer	analog input 20 range
93	246	03_06 Read Holding and Write Single	1	MODBUS_AI_RANGE21	8 Bit Unsigned Integer	analog input 21 range
94	247	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_0	8 Bit Unsigned Integer	auto manual setting for input 0
95	248	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_1	8 Bit Unsigned Integer	auto manual setting for input 1
96	249	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_2	8 Bit Unsigned Integer	auto manual setting for input 2
97	250	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_3	8 Bit Unsigned Integer	auto manual setting for input 3
98	251	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_4	8 Bit Unsigned Integer	auto manual setting for input 4
99	252	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_5	8 Bit Unsigned Integer	auto manual setting for input 5
100	253	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_6	8 Bit Unsigned Integer	auto manual setting for input 6
101	254	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_7	8 Bit Unsigned Integer	auto manual setting for input 7
102	255	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_8	8 Bit Unsigned Integer	auto manual setting for input 8
103	256	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_9	8 Bit Unsigned Integer	auto manual setting for input 9
104	257	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_10	8 Bit Unsigned Integer	auto manual setting for input 10
105	258	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_11	8 Bit Unsigned Integer	auto manual setting for input 11
106	259	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_12	8 Bit Unsigned Integer	auto manual setting for input 12
107	260	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_13	8 Bit Unsigned Integer	auto manual setting for input 13
108	261	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_14	8 Bit Unsigned Integer	auto manual setting for input 14
109	262	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_15	8 Bit Unsigned Integer	auto manual setting for input 15
110	263	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_16	8 Bit Unsigned Integer	auto manual setting for input 16
111	264	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_17	8 Bit Unsigned Integer	auto manual setting for input 17
112	265	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_18	8 Bit Unsigned Integer	auto manual setting for input 18
113	266	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_19	8 Bit Unsigned Integer	auto manual setting for input 19
114	267	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_20	8 Bit Unsigned Integer	auto manual setting for input 20
115	268	03_06 Read Holding and Write Single	1	MODBUS_AUTO_MANUAL_21	8 Bit Unsigned Integer	auto manual setting for input 21
116	269	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI0	8 Bit Unsigned Integer	digit and analog setting for input0 ( 0 - digital 1 - analog)
117	270	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI1	8 Bit Unsigned Integer	digit and analog setting for input1
118	271	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI2	8 Bit Unsigned Integer	digit and analog setting for input2
119	272	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI3	8 Bit Unsigned Integer	digit and analog setting for input3
120	273	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI4	8 Bit Unsigned Integer	digit and analog setting for input4
121	274	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI5	8 Bit Unsigned Integer	digit and analog setting for input5
122	275	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI6	8 Bit Unsigned Integer	digit and analog setting for input6
123	276	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI7	8 Bit Unsigned Integer	digit and analog setting for input7
